598,984,582
230,295,449
300,255,643
348,324,175
220,555,671
149,891,392
508,473,952
910,441,435
521,972,610
950,361,949
476,819,215
206,954,229
991,444,308
483,414,542
705,797,466
893,380,674
132,913,491
815,721,373
178,454,283
867,719,713
662,267,670
266,517,374
502,699,426
745,135,223
332,369,960
813,299,587
848,880,257
783,426,187
810,814,481
527,398,426
104,913,820
294,986,947
261,244,954
925,879,481
560,961,659
325,308,583
432,842,762
952,819,227
428,325,828
857,437,656
207,323,494
221,228,314
567,293,892
209,807,587
843,830,299
124,156,624
755,251,221
413,412,158
391,769,409
337,275,422
310,164,754
273,564,181
160,645,821
777,567,324
464,579,145
602,999,465
462,906,438
365,979,882
474,917,873
865,954,632
109,826,849
980,192,151
264,326,489
345,428,522
324,194,760
745,515,607
586,488,768
611,256,888
476,264,968
354,759,370
890,582,329
395,403,351
459,124,590
165,884,629
700,509,225
405,344,532
224,206,117
467,177,734
409,332,129
715,726,110
900,547,277
550,351,730
289,915,679
320,690,796
114,813,200
122,780,590
938,626,854
402,597,188
571,143,616
262,988,843
754,430,171
905,155,641
287,453,880
527,962,535
748,325,440
583,130,720
723,511,803
726,632,967
341,230,194
538,979,105
304,306,570
